Element Name,Symbol,Period,Group,Block,Atomic Number,Atomic Weight,Covalent Radius,vdW Radius
Lawrencium,Lr (Lw),7,3,d,103,[262],1.5,2
Lead,Pb,6,14,p,82,207.2,1.46,2.02
Lithium,Li,2,1,s,3,6.941,1.28,1.82
Lutetium,Lu,6,3,d,71,174.967,1.87,2
Magnesium,Mg,3,2,s,12,24.305,1.41,1.73
Manganese,Mn,4,7,d,25,54.938,1.61,2
Meitnerium,Mt,7,9,d,109,[268],1.5,2
Mendelevium,Md,7Act,20,f,101,[258],1.5,2
Mercury,Hg,6,12,d,80,200.59,1.32,1.55
Molybdenum,Mo,5,6,d,42,95.94,1.54,2
Neodymium,Nd,6Lan,19,f,60,144.24,2.01,2
Neon,Ne,2,18,p,10,20.18,1.5,1.54
Neptunium,Np,7Act,20,f,93,[237],1.9,2
Nickel,Ni,4,10,d,28,58.693,1.24,1.63
Niobium,Nb,5,5,d,41,92.906,1.64,2
Nitrogen,N,2,15,p,7,14.007,0.68,1.55
Nobelium,No,7Act,20,f,102,[259],1.5,2
Osmium,Os,6,8,d,76,190.23,1.44,2
Oxygen,O,2,16,p,8,15.999,0.68,1.52
Palladium,Pd,5,10,d,46,106.42,1.39,1.63
Phosphorus,P,3,15,p,15,30.974,1.05,1.8
Platinum,Pt,6,10,d,78,195.078,1.36,1.72
Plutonium,Pu,7Act,20,f,94,[244],1.87,2
Polonium,Po,6,16,p,84,[210],1.4,2
Potassium,K,4,1,s,19,39.098,2.03,2.75
Praseodymium,Pr,6Lan,19,f,59,140.908,2.03,2
Promethium,Pm,6Lan,19,f,61,[145],1.99,2
Protactinium,Pa,7Act,20,f,91,231.036,2,2
Radium,Ra,7,2,s,88,[226],2.21,2
Radon,Rn,6,18,p,86,[222],1.5,2
Rhenium,Re,6,7,d,75,186.207,1.51,2
Rhodium,Rh,5,9,d,45,102.906,1.42,2
Rubidium,Rb,5,1,s,37,85.468,2.2,2
Ruthenium,Ru,5,8,d,44,101.07,1.46,2
Rutherfordium,Rf,7,4,d,104,[261],1.5,2
Samarium,Sm,6Lan,19,f,62,150.36,1.98,2
Scandium,Sc,4,3,d,21,44.956,1.7,2
Seaborgium,Sg,7,6,d,106,[266],1.5,2
Selenium,Se,4,16,p,34,78.96,1.22,1.9
Silicon,Si,3,14,p,14,28.086,1.2,2.1
Silver,Ag,5,11,d,47,107.868,1.45,1.72
Sodium,Na,3,1,s,11,22.991,1.66,2.27
Strontium,Sr,5,2,s,38,87.62,1.95,2
Sulphur,S,3,16,p,16,32.066,1.02,1.8
Tantalum,Ta,6,5,d,73,180.948,1.7,2
Technetium,Tc,5,7,d,43,[98],1.47,2
Tellurium,Te,5,16,p,52,127.6,1.47,2.06
Terbium,Tb,6Lan,19,f,65,158.925,1.94,2
Thallium,Tl,6,13,p,81,204.383,1.45,1.96
Thorium,Th,7Act,20,f,90,232.038,2.06,2
Thulium,Tm,6Lan,19,f,69,168.934,1.9,2
Tin,Sn,5,14,p,50,118.71,1.39,2.17
Titanium,Ti,4,4,d,22,47.867,1.6,2
Tungsten,W,6,6,d,74,183.84,1.62,2
Uranium,U,7Act,20,f,92,238.029,1.96,1.86
Vanadium,V,4,5,d,23,50.942,1.53,2
Xenon,Xe,5,18,p,54,131.29,1.5,2.16
Ytterbium,Yb,6Lan,19,f,70,173.04,1.87,2
Yttrium,Y,5,3,d,39,88.906,1.9,2
Zinc,Zn,4,12,d,30,65.39,1.22,1.39
Zirconium,Zr,5,4,d,40,91.224,1.75,2
